id,gene,log2FC,pval,n_group1,n_group2,padj,neglog10_padj
Q8BSY0,Asph,0.8049999999999997,0.3437068115919214,2,2,0.5654538622880123,0.2476028251702974
O08583,Alyref,0.8249999999999993,0.3430587658316143,2,2,0.5654538622880123,0.2476028251702974
Q9Z0X1,Aifm1,0.3933333333333308,0.3444747647245009,3,3,0.565736893199936,0.2473854988436364
Q99J99,Mpst,-0.370000000000001,0.3481335857094322,2,3,0.5710266613397479,0.2433436139915974
P46460,Nsf,0.5499999999999972,0.3487255851940969,3,3,0.5712790993631939,0.2431516646096345
Q62351,Tfrc,0.8949999999999978,0.3501302314312472,3,2,0.5721426338174767,0.2424956891128506
Q99MN1,Kars,0.7433333333333323,0.3497073751991229,3,3,0.5721426338174767,0.2424956891128506
Q91VC3,Eif4a3,1.0000000000000018,0.3508833185963683,3,3,0.5726556288481406,0.2421064660798689
Q08093,Cnn2,0.716666666666665,0.3513683254551673,3,3,0.5727303704919228,0.242049786700991
P45591,Cfl2,-0.7299999999999986,0.3531058019091617,2,3,0.574843902234141,0.2404500711398743
Q61941,Nnt,0.4200000000000017,0.355683743260362,3,3,0.5751592508416037,0.2402118906389541
Q99KI0,Aco2,0.2700000000000067,0.3559459474150109,3,3,0.5751592508416037,0.2402118906389541
P17563,Selenbp1,-0.2533333333333303,0.3551125225309295,3,3,0.5751592508416037,0.2402118906389541
O35609,Scamp3,0.5283333333333324,0.3554276911605698,3,2,0.5751592508416037,0.2402118906389541
P59325,Eif5,0.9750000000000014,0.3558942720864236,2,2,0.5751592508416037,0.2402118906389541
Q8BIK4,Dock9,0.5499999999999989,0.3539405034816388,2,3,0.5751592508416037,0.2402118906389541
Q62000,Ogn,-1.1799999999999995,0.3572646463710622,3,3,0.5758629157822808,0.2396808881130651
Q9CYZ2,Tpd52l2,0.8300000000000018,0.3570896840190607,3,2,0.5758629157822808,0.2396808881130651
P55772,Entpd1,-0.75,0.3588554289199583,3,3,0.5770148507359351,0.2388130091845269
O08917,Flot1,-0.4349999999999987,0.3588642975052479,2,2,0.5770148507359351,0.2388130091845269
P50405,Sftpb,-0.2533333333333374,0.360164632387389,3,3,0.5778479675878426,0.2381864098887688
Q9D2G2,Dlst,-0.4333333333333335,0.3602687098534632,3,3,0.5778479675878426,0.2381864098887688
Q80VQ0,Aldh3b1,0.3733333333333348,0.3611223963379764,3,3,0.578505657032827,0.2376923898563484
P27005,S100a8,0.393333333333338,0.361728636304498,3,3,0.5787658180871967,0.2374971262303949
Q9Z0M6,Cd97,-0.5533333333333346,0.3659378814816259,3,3,0.5847830851127943,0.2330051978634941
Q8BH64,Ehd2,-0.2566666666666677,0.3671028901520885,3,3,0.5852806544716724,0.2326358305672689
Q91YR1,Twf1,-0.3300000000000054,0.3671469136179663,3,3,0.5852806544716724,0.2326358305672689
Q9DAW9,Cnn3,-0.990000000000002,0.36772582367303,3,3,0.5854558537134635,0.2325058473234228
Q9Z0U1,Tjp2,-0.3200000000000003,0.368682825586733,3,3,0.5854558537134635,0.2325058473234228
Q63ZW7,Inadl,-1.0133333333333354,0.3692534127254947,3,3,0.5854558537134635,0.2325058473234228
Q9JIK5,Ddx21,0.3999999999999986,0.3699066192472035,3,3,0.5854558537134635,0.2325058473234228
Q8BWT1,Acaa2,-0.2399999999999984,0.3699506314876487,3,3,0.5854558537134635,0.2325058473234228
P12382,Pfkl,-0.6866666666666674,0.3691697456808739,3,3,0.5854558537134635,0.2325058473234228
O70325,Gpx4,0.4400000000000013,0.3716343151561386,2,2,0.5874074508649754,0.2310605490474342
P63328,Ppp3ca,0.5233333333333334,0.373377805359436,3,3,0.5880249495032663,0.2306042467100494
Q8BMS1,Hadha,0.3233333333333341,0.3729291309854078,3,3,0.5880249495032663,0.2306042467100494
Q62048,Pea15,1.4600000000000009,0.3726332099833808,3,2,0.5880249495032663,0.2306042467100494
O35286,Dhx15,0.4633333333333311,0.3747205207011743,3,3,0.5887175409570257,0.2300930241039964
Q08481,Pecam1,-0.3900000000000005,0.3744631495874937,3,3,0.5887175409570257,0.2300930241039964
P14602,Hspb1,-1.0666666666666629,0.3778162932857203,3,3,0.5928669632305408,0.2270427494972053
O88487,Dync1i2,0.3633333333333333,0.3792664775797055,3,3,0.5944272677451155,0.2259012767043818
Q08857,Cd36,-0.2600000000000015,0.3798255768598022,3,3,0.5945888982295103,0.2257832039145894
