id,gene,log2FC,pval,n_group1,n_group2,group1,group2,padj,neglog10_padj
P61028,Rab8b,-0.059589311984757,0.8600547874566837,3,3,Microglia_5xFAD(AD),Microglia_WT(B6),0.9766618693920892,0.0102557675754444
Q8VCX5-2,Micu1,0.0970823546819108,0.8555654294147921,3,3,Microglia_5xFAD(AD),Microglia_WT(B6),0.9766618693920892,0.0102557675754444
Q8BHW9,Slfnl1,0.1703860213485741,0.8432955009604104,3,3,Microglia_5xFAD(AD),Microglia_WT(B6),0.9766618693920892,0.0102557675754444
Q80TZ3,Dnajc6,-0.1324763119847585,0.8329902998703475,3,3,Microglia_5xFAD(AD),Microglia_WT(B6),0.9766618693920892,0.0102557675754444
Q8BGF6,Elmod2,-0.1225663119847579,0.8531923366491971,3,3,Microglia_5xFAD(AD),Microglia_WT(B6),0.9766618693920892,0.0102557675754444
Q3UM45,Ppp1r7,0.0192790213485771,0.8335961916214687,3,3,Microglia_5xFAD(AD),Microglia_WT(B6),0.9766618693920892,0.0102557675754444
Q8CBW3,Abi1,-0.037433978651423,0.8353217873675055,3,3,Microglia_5xFAD(AD),Microglia_WT(B6),0.9766618693920892,0.0102557675754444
F8VQL9,Ncor2,0.1779196880152449,0.8473457873732237,3,3,Microglia_5xFAD(AD),Microglia_WT(B6),0.9766618693920892,0.0102557675754444
Q9WTX6,Cul1,0.0581793546819122,0.8603327437803692,3,3,Microglia_5xFAD(AD),Microglia_WT(B6),0.9766618693920892,0.0102557675754444
Q99JF8,Psip1,-0.0869563119847551,0.8534371281485134,3,3,Microglia_5xFAD(AD),Microglia_WT(B6),0.9766618693920892,0.0102557675754444
Q7TQF7,Amph,0.0241826880152444,0.8579630627837789,3,3,Microglia_5xFAD(AD),Microglia_WT(B6),0.9766618693920892,0.0102557675754444
Q91WU5,As3mt,-0.111482978651427,0.8574019267185565,3,3,Microglia_5xFAD(AD),Microglia_WT(B6),0.9766618693920892,0.0102557675754444
P19324,Serpinh1,0.0773503546819078,0.8440082285538758,3,3,Microglia_5xFAD(AD),Microglia_WT(B6),0.9766618693920892,0.0102557675754444
G3X9H5,Htt,-0.0595983119847565,0.8545924307598816,3,3,Microglia_5xFAD(AD),Microglia_WT(B6),0.9766618693920892,0.0102557675754444
P26231,Ctnna1,0.0722333546819076,0.8418577695333167,3,3,Microglia_5xFAD(AD),Microglia_WT(B6),0.9766618693920892,0.0102557675754444
G3UYZ1,Igsf8,0.1097960213485773,0.8618780512888826,3,3,Microglia_5xFAD(AD),Microglia_WT(B6),0.9766618693920892,0.0102557675754444
